Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2016-01-04 00:00:00+08:00,142.5,143.5,139.0,139.5,105.8937759399414,39169000,0.0,0.0
2016-01-05 00:00:00+08:00,139.0,140.0,137.0,138.0,104.75511169433594,46381000,0.0,0.0
2016-01-06 00:00:00+08:00,138.0,138.0,135.0,135.5,102.8573989868164,53617000,0.0,0.0
2016-01-07 00:00:00+08:00,134.5,135.0,130.5,133.0,100.95965576171875,62539000,0.0,0.0
2016-01-08 00:00:00+08:00,132.0,135.0,132.0,134.0,101.71875762939453,50123000,0.0,0.0
2016-01-11 00:00:00+08:00,133.0,134.5,130.5,133.0,100.95965576171875,48345000,0.0,0.0
2016-01-12 00:00:00+08:00,133.0,134.0,131.5,133.0,100.95965576171875,34688000,0.0,0.0
2016-01-13 00:00:00+08:00,133.5,135.5,133.0,133.5,101.3392105102539,37717000,0.0,0.0
2016-01-14 00:00:00+08:00,130.5,132.0,130.5,131.5,99.82101440429688,39253000,0.0,0.0
2016-01-15 00:00:00+08:00,137.5,138.0,135.5,137.0,103.99603271484375,79464000,0.0,0.0
2016-01-18 00:00:00+08:00,135.0,138.0,134.5,137.0,103.99603271484375,36757000,0.0,0.0
2016-01-19 00:00:00+08:00,137.5,138.0,136.0,138.0,104.75511169433594,23737000,0.0,0.0
2016-01-20 00:00:00+08:00,137.5,137.5,133.5,134.5,102.09829711914062,43839000,0.0,0.0
2016-01-21 00:00:00+08:00,134.0,136.5,134.0,135.0,102.47786712646484,31933000,0.0,0.0
2016-01-22 00:00:00+08:00,136.5,138.5,136.0,138.5,105.1346664428711,33889000,0.0,0.0
2016-01-25 00:00:00+08:00,140.0,140.0,139.0,139.5,105.8937759399414,27184000,0.0,0.0
2016-01-26 00:00:00+08:00,137.5,139.0,137.0,137.5,104.37557220458984,24049000,0.0,0.0
2016-01-27 00:00:00+08:00,139.0,139.5,138.5,139.5,105.8937759399414,24029000,0.0,0.0
2016-01-28 00:00:00+08:00,138.0,140.5,138.0,140.0,106.2733154296875,37867000,0.0,0.0
2016-01-29 00:00:00+08:00,138.5,143.0,138.0,143.0,108.5506362915039,55616000,0.0,0.0
2016-02-01 00:00:00+08:00,144.0,144.0,141.5,144.0,109.3096694946289,40943000,0.0,0.0
2016-02-02 00:00:00+08:00,144.0,144.5,141.5,142.5,108.17106628417969,25380000,0.0,0.0
2016-02-03 00:00:00+08:00,145.0,146.0,144.5,146.0,110.82789611816406,70465000,0.0,0.0
2016-02-15 00:00:00+08:00,142.0,146.5,142.0,145.0,110.06879425048828,72875000,0.0,0.0
2016-02-16 00:00:00+08:00,146.0,148.0,145.5,147.5,111.96653747558594,55006000,0.0,0.0
2016-02-17 00:00:00+08:00,149.0,149.0,147.0,148.0,112.3460922241211,38453000,0.0,0.0
2016-02-18 00:00:00+08:00,150.0,151.0,149.5,151.0,114.62338256835938,61657000,0.0,0.0
2016-02-19 00:00:00+08:00,149.0,151.0,149.0,151.0,114.62338256835938,35668000,0.0,0.0
2016-02-22 00:00:00+08:00,149.5,152.5,149.5,151.0,114.62338256835938,27003000,0.0,0.0
2016-02-23 00:00:00+08:00,150.5,151.0,149.0,149.5,113.4847412109375,22302000,0.0,0.0
2016-02-24 00:00:00+08:00,149.5,150.5,147.0,148.0,112.3460922241211,22026000,0.0,0.0
2016-02-25 00:00:00+08:00,149.0,151.0,148.5,150.5,114.24378204345703,25202000,0.0,0.0
2016-02-26 00:00:00+08:00,151.0,151.5,148.0,149.0,113.10520935058594,37655000,0.0,0.0
2016-03-01 00:00:00+08:00,148.5,152.0,148.5,152.0,115.3824462890625,38629000,0.0,0.0
2016-03-02 00:00:00+08:00,154.0,154.5,153.0,153.0,116.14153289794922,36010000,0.0,0.0
2016-03-03 00:00:00+08:00,154.0,154.5,153.0,154.0,116.9006576538086,28822000,0.0,0.0
2016-03-04 00:00:00+08:00,153.0,153.5,151.5,152.5,115.76203155517578,32794000,0.0,0.0
2016-03-07 00:00:00+08:00,152.5,153.5,151.0,152.0,115.3824462890625,23906000,0.0,0.0
2016-03-08 00:00:00+08:00,151.0,152.0,149.5,152.0,115.3824462890625,35683000,0.0,0.0
2016-03-09 00:00:00+08:00,152.0,153.0,150.5,153.0,116.14153289794922,24004000,0.0,0.0
2016-03-10 00:00:00+08:00,153.0,154.5,151.5,154.5,117.28018188476562,28302000,0.0,0.0
2016-03-11 00:00:00+08:00,154.5,155.0,153.0,155.0,117.65972137451172,29566000,0.0,0.0
2016-03-14 00:00:00+08:00,156.5,157.5,155.5,156.0,118.41883850097656,32751000,0.0,0.0
2016-03-15 00:00:00+08:00,155.0,156.5,153.0,154.5,117.28018188476562,28689000,0.0,0.0
2016-03-16 00:00:00+08:00,155.5,156.0,154.0,156.0,118.41883850097656,30962000,0.0,0.0
2016-03-17 00:00:00+08:00,159.5,160.0,157.5,158.5,120.31658172607422,48193000,0.0,0.0
2016-03-18 00:00:00+08:00,158.5,159.5,158.5,159.5,121.07568359375,55975000,0.0,0.0
2016-03-21 00:00:00+08:00,160.0,160.0,158.0,160.0,121.45524597167969,26100000,0.0,0.0
2016-03-22 00:00:00+08:00,159.5,159.5,157.0,158.5,120.31658172607422,25809000,0.0,0.0
2016-03-23 00:00:00+08:00,158.5,159.5,158.0,159.5,121.07568359375,27478000,0.0,0.0
2016-03-24 00:00:00+08:00,158.0,159.0,157.0,158.5,120.31658172607422,24853000,0.0,0.0
2016-03-25 00:00:00+08:00,158.5,159.0,157.0,158.0,119.93704223632812,10175000,0.0,0.0
2016-03-28 00:00:00+08:00,158.0,159.0,157.0,159.0,120.6961669921875,15268000,0.0,0.0
2016-03-29 00:00:00+08:00,158.5,159.5,158.0,159.0,120.6961669921875,18977000,0.0,0.0
2016-03-30 00:00:00+08:00,158.5,162.0,158.5,161.5,122.59386444091797,43616000,0.0,0.0
2016-03-31 00:00:00+08:00,162.0,163.0,159.0,162.0,122.97341918945312,49433000,0.0,0.0
2016-04-01 00:00:00+08:00,161.0,161.0,157.5,158.5,120.31658172607422,31564000,0.0,0.0
2016-04-06 00:00:00+08:00,155.5,156.0,153.5,153.5,116.5210952758789,58134000,0.0,0.0
2016-04-07 00:00:00+08:00,155.0,155.0,152.5,154.5,117.28018188476562,35238000,0.0,0.0
